headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Հոսումն			s.	flowing out; outpouring; effusion; discharge; leakage; flowing out, outpouring, effusion, discharge; leakage.	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հով		ոյ	a.	cool; fresh; bracing; coolness; freshness; folds caused by the wind; draping; cool, fresh, bracing; s. cool, coolness, freshness	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովաբեր			a.	airy; well aired; airy, well aired.	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովահար		աց	s.	fan	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովա՛յ			int.	holla!; oh!; hoy!; alas!; holla! oh! hoy! alas!	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանամ		ացայ	vn.	to grow cold; to become cool; to get fresh; to grow cool or cold; to cool down; to become lukewarm or careless; to grow cold, to become cool, to get fresh; to grow cool or cold, to cool down, to become lukewarm or careless	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանանամ		ացայ	vn.	to overshadow; to shade; to shadow; to seat or repose oneself in the shade; to take under one's protection, to protect, to defend, to shelter; to overshadow, to shade, to shadow; fig. to take under one's protection, to protect, to defend, to shelter.	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանացուցանեմ			va.	to extend or spread a shade over; to shade; to extend or spread a shade over, to shade.	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանաւոր			a.	shaded; shady; covered; covering; protecting; shaded, shady, covered; fig. covering, protecting	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանեակ		եկի	s.	marquee; awning	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանի			s.	shadow; shade; umbrage; auspice; conduct; shield; defence; guard; shadow, shade, umbrage; fig. auspice, conduct, shield, defence, guard	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանոց			s.	belvidere; terrace; kiosk; turret; baldaquin; cover; blind; parasol or umbrella; belvidere, terrace, kiosk, turret; baldaquin, cover	dict-449.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հոյանուն			a.	renowned, celebrated	dict-449.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հոյզ		հուզից	s.	sap, juice; extract; mucilage.	dict-449.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf222.jpg
Հովանուտ			a.	shady; umbrageous; overshadowing; shady, umbrageous, overshadowing	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովացուցանեմ			va.	to cool, to refresh, to make cold; to chill; to cool, to relent, to slacken, to abate, to relax.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովեմ		եցի	va.	to fan; to air, to let air in.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովիտ		վտի, տաց	s.	valley, vale, dale; plain.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովիւ		վուի, վուաց	s.	pastor, shepherd; herdsman; neatherd; pastor, shepherd, herdsman, neatherd	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուաբան					dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուական			a.	pastoral, pastorly, shepherdly	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուանոց			s.	shepherd's dwelling.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուապետ			s.	chief shepherd; J.-Christ; pontiff, archbishop	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուեմ		եցի	va.	to tend, to pasture, to feed one's flocks; to have the cure of souls; to lead, to conduct, to guide	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուերգակ			s.	bucolic poet	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովութիւն			s.	cool, freshness, coolness; coldness, indifference, cold-heartedness.	dict-450.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուիկ			s.	shepherd-lad.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուութիւն			s.	pastorate, pastorship; pastoral care, cure of souls.; pastoral care, cure of soils.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովուուհի			sf.	shepherdess.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովտաձեւ			a.	valley-shaped, valleyed; concave.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովտանամ		ացայ	vn.	to sink, to give way, to fall in.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտ		ոյ, ով	s.	odour, smell; perfume, scent; sign, indication	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտառու			a.	having a keen sense of smelling	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտարան			s.	garden of odoriferous flowers; perfumery.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտաւէտ			a.	sweet-smelling, -scented, odoriferous, fragrant.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտեղ			a.	sweet-smelling, -scented, odoriferous, fragrant.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտեւան			a.	sweet-smelling, -scented, odoriferous, fragrant.	dict-450.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտաւորիմ			vn.	to have a grateful odour, a nice smell.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտեմ		եցի	va.	to render stinking, fetid; to rot, to putrefy, to stink.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտիմ		եցայ	vn.	to have a nasty smell, to smell, to smell nasty, to stink	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտոտամ					dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտոտելիք		լեաց	s.	the smell, the sense of smelling, nose.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտոտեցուցանեմ			va.	to cause to smell to.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտոտիմ		եցայ, -տեմ, եցի	vn.	to smell, to scent; to sniff up, to breathe; to touch, to approach	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոր		ից	s.	well, cistern, tank; ditch-gully.; son-in-law.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոր		ից	s.	son-in-law.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորանոց			s.	dung-hole or pit.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորդ			a.	trodden, frequented.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորդան տամ			va.	to cause to advance, to lead on, to conduct, to drive forward; to flock in crowds, to fall upon, to rush impetuously on, to overspread.; vn. to flock in crowds, to fall upon, to rush impetuously on, to overspread.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորդեմ		եցի	va.	to chalk out, to pave, to plane, to trace, to mark; to clear, prepare or open the way	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորեմ			va.	to store up corn in pits.	dict-450.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հովունք			s.	cool, freshness, coolness; coldness, indifference, cold-heartedness.	dict-450.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հոտեան			a.	sweet-smelling, -scented, odoriferous, fragrant.	dict-450.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորիզոն		ի	s.	horizon; fig. horizon	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորձք		ձից	s.	heat, ardour, outburst of passion, sally or fit of wrath.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հորմայք		յից	s. Gr. w.	necklace, necklet, string of pearls.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հու			s.	purulent blood.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուժկու			a.	strong, vigorous, robust; powerful, potent, mighty.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուհայ			s. mus.	an Armenian note ( ծ ).	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուզկահար		ու, աց	s.	highwayman; robber, brigand, assassin	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հում		հմոյ	a.	raw, unripe, sour, hard; half-cooked; fig. cruel, ruthless, inhuman.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուն		հնի	s.	ford, shallow passage, way; bot. S. Հոյն; a. fordable, passable	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հունդ		հնդոյ	s.	seed, grain.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հունձք		հնձոց	s.	harvest; crop; summer	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հունչ			or	sound.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուշ			int.		dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուպ		հպոյ	or	near, nigh, close, adjacent; pr. near, close to, by, by the side of	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուսկ			a.	last	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուր		հրոյ	s.	fire; fig. fire, heat, spirit, ardour; passion, love, flame; a. fiery, igneous	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուրասասոյց			a.	cold, cool.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հուրբակ			s.	fire-temple.	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հպատակ		աց	s.	subject; vassal, serf; a. dependent, inferior, subordinate, obedient, obsequious; attentive, careful	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հպարտ		ից	a.	proud, arrogant, haughty, lofty, lordly, overbearing, imperious, supercilious, vain	dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հպաւոր			S.		dict-451.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf223.jpg
Հպեմ		եցի	va.	to approach.; to touch, to handle.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հպիմ		հպեցայ	vn.	to approach; to touch, to handle.; to approach; to	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հպութի	Հպութիւն	ումն			dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հպտիմ		եցայ	vn.	to deck, to trim or bedizen oneself out, to spruce up, dress or adorn oneself in a studied or affected manner.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռետոր		աց	s.	rhetor, rhetorician, orator; rhetor, rhetorician, orator;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռիկ գամ			vn.	to turn; to turn;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռնչիւն			s.	snorting or rattling in the throat; snorting or rattling in the throat;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռոմ			a. s.	roman, latin; s. Rome; roman, latin;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռչակ		աց	s.	exultation, rejoicing; solemnity, pomp; exultation, rejoicing; solemnity, pomp;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռչակագեղ			a.	very beautiful, handsome, fair, fine; very beautiful, handsome, fair, fine;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռչակեմ		եցի	va.	to make famous, to trumpet, to sound the fame of, to praise, to exalt; to publish, to divulge, to make public, to noise or rumour abroad; to chant, to celebrate, to solemnize.; to make famous, to trumpet, to sound the fame of, to praise, to exalt; to publish, to divulge, to make public, to noise or rumour abroad; to chant, to celebrate, to solemnize.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռչակիմ		եցայ	vn.	to be renowned, celebrated; to be divulged, published, to get or take wind.; to be renowned, celebrated; to be divulged, published, to get or take wind.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկայ		ից	s.	giant; giant;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկեմ		եցի	vn.	to watch, to abstain from sleep; fig. to watch over, to guard, to oversee, to take care of, to have an eye upon; to watch, to abstain from sleep;; to watch over, to guard, to oversee, to take care of, to have an eye upon;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկեցող			s.	watcher; a. watchful, vigilant; np. Gregory.; watcher;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկող			s.	watcher; a. watchful, vigilant; np. Gregory.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկողութիւն			s.	watching, wakefulness, sleeplessness; vigilance.; watching, wakefulness, sleeplessness; vigilance.; [of a feast.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկութիւն			s.	watching, wakefulness, sleeplessness; vigilance.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկումն			s.	watch, vigil; vigil, eve of a feast.; watch, vigil; vigil, eve	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսկուն			a.	awake. [ade, buffoonery.; awake.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հսպատանք			s.	harlequin-	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաբաժակ			s.	fire-cup; fig. punishment by fire; a. fiery, full of fire; fire-cup;; punishment by fire;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարական			a.	renouncing, abdicating, resigning, taking leave of; s. resignation; leave of absence; renouncing, abdicating, resigning, taking leave of;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հպասանք			s.	exaggeration or affectation in dress or ornament, ridiculous medley, dandyism, finery, spruceness, puerile ornament, bibs & tuckers;; affectation, affected ways, mincing air, simpering.	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հռոդ		ի, իւ	s.	salary; bursary;	dict-452.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարեալ			a.	that has resigned; deceased	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարելի			a.	unbecoming; indecent; prohibited; forbidden.; unbecoming, indecent; prohibited, forbidden.	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարեմ		եցի	va.	to cause to renounce or abdicate; to dismiss; to discharge; to forbid; to prohibit; to interdict; to renounce; to abstain; to deprive oneself of; to forego; to forbear; to refrain; to desist; to resign; to deny; to disown; to refuse; to take leave of; to bid farewell to; to die; to decease; to dismiss, to discharge; to forbid, to prohibit, to interdict; to renounce, to abstain, to deprive oneself of, to forego, to forbear, to refrain, to desist, to resign; to deny, to disown, to refuse; to take leave of, to bid farewell to; to die, to decease	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարիմ			vn.		dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժարութի	Հրաժարութիւն	ումն	s.	renouncing; giving up; resignation; renunciation; abdication; dismission; departure from this life; decease; death; monastic life; renouncing, giving up, resignation, renunciation, abdication; departure from this life, decease, death	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաժեշտ		ի	s.	renunciation; renouncing; relinquishment; abdication; resigning; resignation; denial; refusal; leave of absence; dismission; discharge; permission; parting; leave; farewell; adieu; good-bye; renunciation, renouncing, relinquishment; resigning, resignation; denial, refusal; dismission, discharge; parting, leave; farewell, adieu, good-bye	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրալից			a.	full of fire; ardent; burning; full of fire, ardent, burning	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրահանգ		ք, գաց	s.	instruction; tuition; education; discipline; teaching; knowledge; information; regulations; system; rules; diet; regimen; low diet; instruction, tuition, education, discipline, teaching; knowledge, information; system, rules; diet, regimen, low diet	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրահատ			a.	red-seeded (pomegranate)	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրամայական			a.	imperative; imperious; lordly; dictatorial; imperative mood.; imperative, imperious, lordly, dictatorial	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրամայեմ		եցի	va.	to command; to order; to enjoin; to impose; to prescribe; to permit; to allow; to authorize; to establish; to settle; to dispose; to command, to order, to enjoin, to impose, to prescribe; to permit, to allow, to authorize; to establish, to settle, to dispose	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրաման		աց	s.	command; order; injunction; ordination; behest; permission; authorization; license; leave; decree; edict; command, order, injunction, ordination, behest; permission, authorization, license, leave; decree, edict	dict-453.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրահանգեմ		եցի	va.	to instruct, to teach, to exercise, to drill, to discipline, to tutor, to train up, to form, to regulate, to civilize, to polish, to fashion	dict-453.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf224.jpg
Հրամանաբանեմ			vn.	to deliver the oracle	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրամանուած			a.	woven with fire	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրամէնք			s.	afternoon lunch	dict-454.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրամուխ			a.	tempered (iron, &c.)	dict-454.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրամուշկ			s. zool.	Indian or Tibet-musk; pyrausta. [dent.	dict-454.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրային			a.	igneous, fiery, pyric, ar-; igneous, fiery, pyric, ar	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրայրեաց			a.	burnt, consumed by fire; burning, consuming by fire; burnt, consumed by fire; burning, consuming by fire	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրայրք			s. fig.	fire, heat, ardour.	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրանամ		ացայ	vn.	to ignite, to become fire, to be on fire, to kindle, to be inflamed; to catch or take fire, to burn, to be lighted, set on fire; fig. to take fire, to be all fire, blaze or excitement.; to ignite, to become fire, to be on fire, to kindle, to be inflamed; to catch or take fire, to burn, to be lighted, set on fire; fig. to take fire, to be all fire, blaze or excitement.	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրանիւթ		եայ	S.	Հրեղէն	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրաշ		ի	s. S.	wonder-struck, astonished; Հրաշք	dict-454.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրաշք		չից	s.	miracle, marvel, won-der, prodigy, portent; monster; spec-tre, phantom, larvæ, ghosts	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրաշափ			s.	pyrometer	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակ		աց	s.	place, spot, ground; public or market-place, mar-ket, exchange; town-hall, town-house; concourse of people, assembly, the public, crowd; court, tribunal; good cheer, feast	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակաբան			s.	public orator, haranguer, preacher; tax-collector, -gatherer	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակագոյժ			a.	made public, pub-lished, divulged every where, rumour-ed abroad	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակախումբ			a.	pu-blic	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակախօս		աց	a.	pronounced in public; s. public speaker, haranguer, orator, speech-maker, declaimer; ad. publicly	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակակալական			a.	de-mocratic	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակական			a.	public, notorious; solemn	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարականախատ			a.	publicly reproved, blam-ed by every one	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակաշրջող			a.	street-pac-ing, roving, vagrant, wandering, tramping	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակատես			a.	seen by all, public	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակաքարոզ առնեմ			va.	to expose to infa-my, to defame, to slander, to lampoon.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակեմ		եցի	va.	to publish, to make public, to promulgate, to di-vulge; to declare, to disclose, to re-port.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարակութի	Հրապարակութիւն		s.	publicity, divul-gation, promulgation, making known.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապարիսպ			a.	fire-walled	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապետ			s.	ignipotent.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապոյրք			s.	charms, attractions, allurements; lure, bait, wheedling, cajolery, flattery, enticement, solici-tation, seduction; instigation, sugges-tion, impulse, incitement	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապուրական			a.	attractive, entic-ing, alluring, engaging, seducing, in-sinuating, tempting, captivating.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապուրանք			S.		dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապուրացուցանեմ			va.	to over-strain a word or phrase, to pervert the meaning or sense of a passage.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապուրեմ		եցի, -եցուցանեմ	va.	to allure, to attract, to entice, to de-coy, to inveigle, to induce, to instig-ate, to seduce, to suggest, to wheedle, to dupe, to coax, to cajole, to flatter; to suborn.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրապուրիչ			s.	seducer, deluder; in-	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրաշերմն			s.	scarlet fever.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրառու			a.	fire-bearing	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրասախ		ի	s.	league	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրասուզեմ			va.	to engulph in a vor-tex of flame; to set fire to.	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրավառ			s.	fire-lighter; stoker, fire-	dict-455.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf225.jpg
Հրատ		ից	s.	fire; pyre; funeral pile; fig. fire, ardour; ast. Mars; fire; pyre; funeral pile; fire, ardour; Mars	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրատարակ		աց	s.	publisher; announcer, crier; bill, poster, advertisement; publisher, announcer, crier	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրատարափ			a.	raining fire	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաբուեստք			s.	pyrotechnics	dict-456.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրացայտ			a.	emitting flames; shining, sparkling, glittering; emitting flames; shining, sparkling, glittering	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրացան		ից	a.	throwing, casting or shooting fire; s. gun, musket, fusil, piece, arquebuse, rifle, blunderbuss; gun, musket, fusil, piece, arquebuse, rifle, blunderbuss	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրացուցանեմ			va.	to inflame, to set on fire, to burn; to make red hot, to ignite; to inflame, to set on fire, to burn; to make red hot, to ignite.	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաւէր		ւիրաց	s.	invitation	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաւիրակ		աց	s.	inviter, host, hostess	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաւիրան			s.	predestination; predestina-	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
